text,canonical_form_1,canonical_form_2severity_rating,severity_description
c0xux0r,cock,1.8,Strong
caaak,cock,1.4,Mild
caca,shit,1,Mild
cack,cock,1.2,Mild
cagone,cojones,1.2,Mild
cajones,cojones,1,Mild
Camel jockey,camel jockey,2.8,Severe
cameltoe,cameltoe,1.2,Mild
carpet muncher,carpet muncher,2.4,Strong
carpetmuncher,carpet muncher,2.6,Severe
carpetmunchers,carpet muncher,2.2,Strong
carpetmunching,carpet muncher,1.6,Strong
cawk,cock,1.4,Mild
cawk muncher,cock,2.4,Strong
cawkmuncher,cock,2.2,Strong
cawks,cock,1.2,Mild
cawksucker,cock,2.6,Severe
ch1nk,chink,3,Severe
chesticles,testicles,1,Mild
china-virus,china virus,2.2,Strong
chinavirus,china virus,2.6,Severe
chinese-virus,china virus,2.8,Severe
chingchong,chingchong,2.8,Severe
chink,chink,3,Severe
chinky,chink,3,Severe
choad nectar,choad,2,Strong
chocha,chocha,2.4,Strong
choke the chicken,choke the chicken,1.4,Mild
cholo,cholo,1.6,Strong
clitlickers,clit,2,Strong
closet fuckhead,fuck,2.8,Severe
clusterfuck,fuck,1.8,Strong
clusterfucked,fuck,2.2,Strong
clusterfucker,fuck,2.4,Strong
clusterfucking,fuck,2,Strong
clusterfucks,fuck,2,Strong
cobb knobbler,knob,1.8,Strong
cock,cock,1.4,Mild
cock droplets,cock,2.4,Strong
cock head,cock,2,Strong
cock jockey,cock,2.4,Strong
cock knocker,cock,1.8,Strong
cock licker,cock,2,Strong
cock munch,cock,2,Strong
cock rider,cock,2.4,Strong
cock smoker,cock,2.2,Strong
cock snot,cock,2.2,Strong
cock suck,cock,1.8,Strong
cock sucker,cock,2.4,Strong
cock sucking,cock,2.2,Strong
cock sucking boiolas,cock,2.6,Severe
cock sucking nob jokeys,cock,knob2.8,Severe
cock tease,cock,1.8,Strong
cock-face,cock,2.2,Strong
cock-gobbler,cock,2.4,Strong
cock-head,cock,1.8,Strong
cock-sucker,cock,2,Strong
cock-suckers,cock,2,Strong
cockboy,cock,2.4,Strong
cockeater,cock,2.2,Strong
cockface,cock,2,Strong
cockgobbler,cock,1.8,Strong
cockh3ad,cock,2.4,Strong
cockhead,cock,1.8,Strong
cockheads,cock,2.4,Strong
cockhed,cock,2,Strong
cockless,cock,1.4,Mild
cocklicker,cock,2.2,Strong
cockmonger,cock,2.2,Strong
cockmunch,cock,2.2,Strong
cockmuncher,cock,1.8,Strong
cocks,cock,1.6,Strong
cockshit,cock,shit2.2,Strong
cockskin,cock,1.8,Strong
cocksmoker,cock,2.2,Strong
cocksucc,cock,2,Strong
cocksuccas,cock,2.2,Strong
cocksuccer,cock,2.2,Strong
cocksuccers,cock,2.2,Strong
cocksuck,cock,2.2,Strong
cocksuckas,cock,2.4,Strong
cocksucked,cock,2,Strong
cocksucker,cock,2.2,Strong
cocksuckers,cock,2.2,Strong
cocksucking,cock,2.4,Strong
cocksucking mothafuckers,motherfucker,cock3,Severe
cocksucks,cock,2.2,Strong
cocksuk,cock,2,Strong
cocksuka,cock,2,Strong
cocksukka,cock,2.2,Strong
cocsuck,cock,2,Strong
cokmuncher,cock,2.2,Strong
coksucka,cock,1.8,Strong
coolie,coolie,1.8,Strong
coon,coon,3,Severe
coon1es,coon,3,Severe
cooni3s,coon,2.4,Strong
coonie,coon,2.8,Severe
coonies,coon,3,Severe
coons,coon,2.8,Severe
coot,coot,1.6,Strong
coot coot,coot,1.4,Mild
cooter,coot,1.2,Mild
cooter shooting,coot,2.6,Severe
cooterpuffing,coot,2.4,Strong
cooties,cooties,1,Mild
cotton picker,cotton picker,2.8,Severe
crazy mofos,motherfucker,1.4,Mild
crazy sob,bitch,1.4,Mild
creampie,creampie,2.2,Strong
crotch,crotch,1,Mild
crotch fiddler,crotch,2.2,Strong
crotchy,crotch,1.4,Mild
crow,crow,1,Mild
crows,crow,1.4,Mild
cuksuker,cock,2.4,Strong
cuksukka,cock,2.2,Strong
cum goon,cum,2,Strong
cumball,cum,2.4,Strong
cumdumpster,cum,2.8,Severe
cumming,cum,1.6,Strong
cums,cum,1.4,Mild
cumslut,cum,2.8,Severe
cumz,cum,2,Strong
cunnilingus,cunnilingus,2,Strong
cunt,cunt,2.6,Severe
cunt ass,cunt,ass2.8,Severe
cunt fart,cunt,fart2.6,Severe
cunt lick,cunt,3,Severe
cunt licker,cunt,3,Severe
cunt lips,cunt,2.8,Severe
cuntasaurus rex,cunt,2.8,Severe
cuntbag,cunt,3,Severe
cuntbollock,cunt,2.2,Strong
cuntelope,cunt,2.4,Strong
cuntits,cunt,tits2.8,Severe
cuntless,cunt,2.8,Severe
cuntlick,cunt,3,Severe
cuntlicker,cunt,2.4,Strong
cuntlickers,cunt,2.6,Severe
cuntness,cunt,3,Severe
cunts,cunt,2.6,Severe
cunty,cunt,2.8,Severe
cuntz,cunt,2.8,Severe
cuunt,cunt,2.6,Severe
cyberfck,fuck,2.2,Strong
cyberfcks,fuck,2.4,Strong
cyberfuccs,fuck,2.2,Strong
cyberfucks,fuck,2.2,Strong
cyberfucs,fuck,2,Strong
cyberfukk,fuck,2,Strong
cyberfukks,fuck,2.2,Strong
cyberfvcks,fuck,2.2,Strong
d!ck,dick,1,Mild
d!cks,dick,1,Mild
d!ld0,dildo,1.4,Mild
d!ldo,dildo,1.4,Mild
d0ggy style,doggy style,1.8,Strong
d1ck,dick,1,Mild
d1ckhead,dick,1.8,Strong
d1ckheads,dick,1.8,Strong
d1cks,dick,1.4,Mild
d1cksucker,dick,1.8,Strong
d1cksukka,dick,2,Strong
d1ckz,dick,1,Mild
d1ldo,dildo,1.4,Mild
dafuq,fuck,2.2,Strong
dago,dago,2.2,Strong
darkass,ass,2.6,Severe
darkfuck,fuck,darky2.4,Strong
darkie,darky,2.8,Severe
darkshit,shit,3,Severe
darktard,retard,darky3,Severe
darky,darky,2.8,Severe
dick breath,dick,2,Strong
dick face,dick,1.8,Strong
