text,canonical_form_1,canonical_form_2severity_rating,severity_description
knobeds,knob,1.8,Strong
knobend,knob,1.2,Mild
knobender,knob,2.2,Strong
knobends,knob,1.4,Mild
knobendy,knob,1.6,Strong
knobendz,knob,1.4,Mild
knober,knob,1,Mild
knobes,knob,1.2,Mild
knobgobbler,knob,1.8,Strong
knobhead,knob,1.6,Strong
knobheads,knob,1.6,Strong
knobjockies,knob,1.8,Strong
knobjocky,knob,2.2,Strong
knobjokey,knob,2.6,Severe
knobjokeys,knob,1.8,Strong
ku kluxer,ku kluxer,2.6,Severe
kyke,kike,3,Severe
l@dyb0i,ladyboy,2.2,Strong
l@dyb0y,ladyboy,2,Strong
l@dyboy,ladyboy,2,Strong
l3i + ch,bitch,1.2,Mild
l3i+ch,bitch,1.2,Mild
l3itch,bitch,1.4,Mild
l3itches,bitch,1.2,Mild
ladboys,ladyboy,1.4,Mild
ladboyz,ladyboy,1.4,Mild
ladiboy,ladyboy,2.2,Strong
